kind,name,code,scope,tier,status,declared_in,collision,notes
team,convoke,,"Core platform, CLI, update system, meta-infrastructure",convoke,shipped,taxonomy,,"The extension pack itself, not a team of agents"
team,vortex,VTX,"Product discovery (Shiftup Innovation Vortex, 7 streams)",convoke,shipped,both,,"7 agents, 23 workflows, module.yaml present; 4 of 7 agents still v5 XML (I97 E2 at 3/7)"
team,gyre,GYR,"Operational readiness",convoke,in-dev,both,,"4 agents, 7 workflows; NO module.yaml and NO module-help.csv, so it cannot be packaged. Reached today by operators hand-wiring agent paths (revealed demand, see I98)"
team,bmm,,"Build module (upstream BMAD agents and workflows)",bmad-upstream,shipped,taxonomy,,"Not Convoke's to build"
team,forge,FRG,"Knowledge capture: explicit and implicit (NOT field-bounded)",convoke,proposed,both,"team name vs a proposed Sentinel agent named Forge","Scope amended 2026-09-05 by operator: the axis is explicit/implicit knowledge, NOT brownfield/greenfield. Supersedes the taxonomy's former 'brownfield capture'. P9 Gate 1 (shadow engagement) was brownfield-shaped and must be re-tested against this axis"
team,helm,,"Steering: portfolio, WIP and lifecycle governance",convoke,proposed,taxonomy,"team Helm vs a proposed Conduit agent named Helm (role: cutover)","The word 'strategy' is RETIRED for this team as of 2026-09-05 (operator ruling). Steering and Portfolio are one function and this is it. ILE-1 is its flagship and has been Ready for Sprint since 2026-04-15. Absent from the ecosystem-doc roster entirely"
team,loom,LOM,"Orchestration / Team Factory",convoke,in-dev,both,"taxonomy defines Loom as Team Factory (built, 1 agent); ecosystem doc defines Loom as a proposed human-agent orchestration team","Two live definitions under one name. Unresolved - operator ruling required"
team,enhance,,"Skills module: workflow extensions on existing agents",convoke,in-dev,taxonomy,,"0 agents, 1 workflow. A module, not a team"
team,pulse,PLS,"Adoption and change",unassigned,proposed,ecosystem-doc,,"Tier undecided; may be practice-tier, not Convoke-tier"
team,conduit,CDT,"Data lifecycle",unassigned,proposed,ecosystem-doc,"proposed agents Helm and Flux collide with team Helm and with a Loom agent","Tier undecided; likely practice-tier per the 2026-08-15 baseline"
team,compass,CMP,"Stakeholder alignment",unassigned,proposed,ecosystem-doc,"team name vs Vortex's existing Compass routing system (compass-routing-reference.md)","Tier undecided; likely practice-tier"
team,sentinel,SNT,"Incident lifecycle",unassigned,proposed,ecosystem-doc,,"Replaces the v0.1 Vigil proposal"
team,ledger,LDG,"Audit and traceability (reduced scope)",unassigned,proposed,ecosystem-doc,,"Reduced: Gyre absorbed the policy-as-code and compliance-discovery side"
team,tbd-stakes,,"Turns problems into stakes and feeds them to Vortex Contextualize",unassigned,reserved,session-2026-09-05,,"NAME NOT YET CHOSEN. Do NOT name it 'Strategy' - that word was retired 2026-09-05 and would re-import the Helm collision. Identified as a genuine hole: nothing currently feeds Emma's Contextualize stream. Reserved per the baseline memo's 'proposed teams reserve names without being built'"
agent,Emma,,"Contextualize - product context architect, lean personas, product vision",convoke,shipped,vortex,,"bmad-agent-bme-contextualization-expert; v6.3 markdown"
agent,Isla,,"Empathize - qualitative research and empathy mapping",convoke,shipped,vortex,,"bmad-agent-bme-discovery-empathy-expert; still v5 XML"
agent,Mila,,"Synthesize - research convergence, JTBD, problem definition",convoke,shipped,vortex,,"bmad-agent-bme-research-convergence-specialist; v6.3 markdown"
agent,Liam,,"Hypothesize - brainwriting, hypothesis contracts, assumption mapping",convoke,shipped,vortex,,"bmad-agent-bme-hypothesis-engineer; still v5 XML"
agent,Wade,,"Externalize - MVPs, lean experiments, build-measure-learn",convoke,shipped,vortex,,"bmad-agent-bme-lean-experiments-specialist; v6.3 markdown"
agent,Noah,,"Sensitize - production signal interpretation",convoke,shipped,vortex,,"bmad-agent-bme-production-intelligence-specialist; still v5 XML"
agent,Max,,"Systematize - validated learning synthesis, pivot/patch/persevere",convoke,shipped,vortex,,"bmad-agent-bme-learning-decision-expert; still v5 XML"
agent,Lens,,"Readiness analyst",convoke,in-dev,gyre,,"bmad-agent-bme-readiness-analyst; v5 XML; team unpackageable"
agent,Scout,,"Stack detective",convoke,in-dev,gyre,"Gyre's Scout vs a proposed Compass agent named Scout","bmad-agent-bme-stack-detective; v5 XML"
agent,Coach,,"Review coach",convoke,in-dev,gyre,,"bmad-agent-bme-review-coach; v5 XML"
agent,Atlas,,"Model curator",convoke,in-dev,gyre,"Gyre's Atlas vs a proposed Conduit agent named Atlas","bmad-agent-bme-model-curator; v5 XML"
agent,,,"Team Factory",convoke,in-dev,loom,,"bmad-agent-bme-team-factory - HAS NO FIRST NAME, unlike every other bme agent. Naming inconsistency surfaced by this registry"
